premise,hypothesis,label,explanation_1,explanation_2,explanation_3,premise_highlighted_1,hypothesis_highlighted_1,premise_highlighted_2,hypothesis_highlighted_2,premise_highlighted_3,hypothesis_highlighted_3,premise_marked_1,hypothesis_marked_1,premise_marked_2,hypothesis_marked_2,premise_marked_3,hypothesis_marked_3,highlighted_premise_all,highlighted_hypothesis_all
A man is throwing a small white ball at some red cups.,The woman is watching Shades of Grey,2,The person must either be a man or a woman,Throwing and watching are two different actions.,a man cant be woman,,,,,,,A *man* is throwing a small white ball at some red cups.,The *woman* is watching Shades of Grey,A man is *throwing* a small white ball at some red cups.,The woman is *watching* Shades of Grey,A *man* is throwing a small white ball at some red cups.,The *woman* is watching Shades of Grey,"throwing,man","watching,woman"
a big black dog jumps in the air to catch the tennis ball in his mouth.,The dog is white.,2,The dog can't be black and white.,If the dog is white then it cannot be a black dog.,if a dog is white it cant be black,,,,,,,a *big* *black* *dog* jumps in the air to catch the tennis ball in his mouth.,The *dog* is *white.*,a big *black* *dog* jumps in the air to catch the tennis ball in his mouth.,The *dog* *is* *white.*,a big *black* *dog* jumps in the air to catch the tennis ball in his mouth.,The *dog* is *white.*,"dog,big,black","dog,white,is"
A woman is standing at a podium.,A man is standing at a podium.,2,"The person is either a woman or a man, not both.",Woman cannot be a man.,It is a women standing not a man.,,,,,,,A *woman* is standing at a podium.,A *man* is standing at a podium.,A *woman* is standing at a podium.,A *man* is standing at a podium.,A *woman* is standing at a podium.,A *man* is standing at a podium.,woman,man
A woman and a young girl are eating side by side.,A man folding his laundry.,2,"The subject is either a man or a woman and girl, and either folding laundry or eating.",Woman and a young girl and man are different.  Eating and folding laundry are different things.,A woman and young girl are different genders than a man.,,,,,,,A *woman* and a young *girl* are *eating* side by side.,A *man* *folding* his laundry.,A *woman* and *a* *young* *girl* are *eating* side by side.,A *man* *folding* *his* *laundry.*,A *woman* and a *young* *girl* are eating side by side.,A *man* folding his laundry.,"woman,eating,young,girl,a","folding,laundry,his,man"
A man and women walking down the street holding bags in their hands and smiling both wearing black and white clothes.,A woman and a man walk down the street.,0,Walking down the street is a rephrasing of walk down the street.,One woman and one man were not holding bags in their hands.,The man and woman walk down the street.,,,,,,, A man and women *walking* *down* *the* *street* holding bags in their hands and smiling both wearing black and white clothes., A woman and a man *walk* *down* *the* *street.*, A *man* and women walking down the street *holding* *bags* *in* *their* *hands* and smiling both wearing black and white clothes., A *woman* and a man walk down the street., A *man* and women walking *down* *the* *street* holding bags in their hands and smiling both wearing black and white clothes., A *woman* and a man *walk* down the street.,"holding,bags,walking,in,their,hands,street,down,the,man","woman,walk,street,down,the"
"A black women holding a sign that says, 'free hugs' in the city.",a white woman is holding a sign,2,He refers to a black woman not a white woman.,One is either distinctly black or white.,A woman can't be black and white at the same time.,,,,,,," A *black* *women* holding a sign that says, 'free hugs' in the city.",a *white* *woman* is holding a sign," A *black* women holding a sign that says, 'free hugs' in the city.",a *white* woman is holding a sign," A *black* *women* holding a sign that says, 'free hugs' in the city.",a *white* *woman* is holding a sign,"women,black","white,woman"
A man on a skateboard performs a trick in the air against the backdrop of a bright blue sky.,A woman is running,2,The first sentence is about a man and the second sentence is about a woman.,"A man performs a trick not a women, one cannot be performing a skateboard trick and running simultaneously",A man is performing a trick or woman is running.,,,,,,,A *man* on a skateboard performs a trick in the air against the backdrop of a bright blue sky.,A *woman* is running,A *man* on a *skateboard* *performs* a *trick* in the air against the backdrop of a bright blue sky.,A *woman* is *running*,A *man* on a skateboard *performs* a *trick* in the air against the backdrop of a bright blue sky.,A *woman* is *running*,"trick,performs,skateboard,man","running,woman"
A young girl holding a toddler.,Two old ladies are making out at a strip club.,2,The female can only be you or old.  There are either one or 2 females not both.  The female cannot be both holding something and making out at the same time.,One can be either old or young. A girl is a single person while ladies refers to a group.  Toddlers are not allowed in strip clubs.,girl cannot be holding a toddler and making out at a strip club simultaneously.,,,,,,,A *young* girl *holding* a toddler.,*Two* *old* ladies are *making* *out* at a strip club.,A *young* *girl* holding a *toddler.*,Two *old* *ladies* are making out at a *strip* *club.*,A young girl *holding* *a* *toddler.*,Two old ladies are *making* *out* *at* *a* *strip* *club.*,"toddler,holding,young,girl,a","strip,old,a,at,out,ladies,making,club,Two"
A white man in a blue uniform is pushing away a black man in a red uniform while the two play soccer on a green field.,A woman says Hi to another woman at the grocery store.,2,A man is not a woman.,People can't be on a green field and a grocery store at the same time.,There can be either a man or a woman.,,,,,,,A white *man* in a blue uniform is pushing away a black man in a red uniform while the two play soccer on a green field.,A *woman* says Hi to another woman at the grocery store.,A white man in a blue uniform is pushing away a black man in a red uniform while the two play soccer on a *green* *field.*,A woman says Hi to another woman at the *grocery* *store.*,A white *man* in a blue uniform is pushing away a black man in a red uniform while the two play soccer on a green field.,A *woman* says Hi to another woman at the grocery store.,"field,man,green","grocery,store,woman"
A woman is taking a picture on the shoulders of another woman in cold weather.,A man is running errands on his bike.,2,"Woman describes someopne of the femae gender, were as, man describes someone of themale gender.",The woman is not a man and she is not running errands. She is taking a picture.,"The picture isi of two women taking pictures not a man doing errands,",,,,,,,A *woman* is taking a picture on the shoulders of another woman in cold weather.,A *man* is running errands on his bike.,A *woman* is *taking* *a* *picture* on the shoulders of another woman in cold weather.,A *man* is *running* *errands* on his bike.,A *woman* is *taking* a *picture* on the shoulders of another *woman* in cold weather.,A *man* is running *errands* on his bike.,"picture,taking,a,woman","errands,running,man"
A policeman is sitting in a van looking out the window.,The policeman is standing.,2,sitting and standing are opposites and require different muscle movements,A person cannot be sitting and standing at the same time.,he is sitting not standing,,,,,,,A policeman is *sitting* in a van looking out the window.,The policeman is *standing.*,A policeman is *sitting* in a van looking out the window.,The policeman is *standing.*,A policeman is *sitting* in a van looking out the window.,The policeman is *standing.*,sitting,standing
Some people are relaxing in front of a large red building.,Lots of people are walking by a small red building.,2,The red building must be either large or small.,if people are relaxing then they are most likely sitting or laying not walking,People who are walking in front of a red building aren't relaxing and a building can't be both small and big,,,,,,,Some people are relaxing in front of a *large* red building.,Lots of people are walking by a *small* red building.,Some people are *relaxing* in front of a large red building.,Lots of people are *walking* by a small red building.,Some people are *relaxing* in front of a *large* *red* *building.*,Lots of people are *walking* by a *small* *red* *building.*,"relaxing,red,building,large","small,red,walking,building"
A young boy dressed in black and green is laying down in a tent outside with items surrounding him.,A girl lays down in front of a tent,2,It is either a girl or a boy who lays down in a tent.,One cannot be both a boy and a girl at the same time.,"Either it is a boy or a girl, and they lay either in or in front of the tent.",,,,,,,*A* *young* boy dressed in black and green is laying down in a tent outside with items surrounding him.,*A* *girl* lays down in front of a tent,A young *boy* dressed in black and green is laying down in a tent outside with items surrounding him.,A *girl* lays down in front of a tent,A young *boy* dressed in black and green is *laying* down *in* *a* *tent* outside with items surrounding him.,A *girl* *lays* down *in* *front* *of* *a* tent,"A,boy,tent,in,young,laying,a","lays,A,front,in,girl,a,of"
A dusty boy runs along a dirt path through the grass.,A girl is chasing a rabbit.,2,The subject is either a boy or girl.,"A girl is not the same as a A dusty boy, and while she is chasing a rabbit the boy runs along a dirt path.",A boy is different from a girl.,,,,,,,A dusty *boy* runs along a dirt path through the grass.,A *girl* is chasing a rabbit.,*A* *dusty* *boy* *runs* *along* *a* *dirt* *path* through the grass.,*A* *girl* is *chasing* a rabbit.,A dusty *boy* runs along a dirt path through the grass.,A *girl* is chasing a rabbit.,"dirt,A,boy,along,runs,dusty,path,a","girl,chasing,A"
"Two men in suits standing in front of a bus, one is wearing a medal.",The men are seated in lawn chairs.,2,THe men are either standing in front of a bus or seated in lawn chairs on lawn chairs.,Men can not be both standing and seated at the same time.,The men are either standing or seated. Usually there would not be lawn chairs in front of a bus.,,,,,,," Two men in suits *standing* in front of a bus, one is wearing a medal.",The men are *seated* in lawn chairs.," Two men in suits *standing* in front of a bus, one is wearing a medal.",The men are *seated* in lawn chairs.," Two men in suits *standing* in *front* *of* *a* *bus,* one is wearing a medal.",The men are *seated* in *lawn* *chairs.*,"bus,front,standing,a,of","seated,lawn,chairs"
Bespectacled man in suit opens wallet while a younger lady in formal wear laughs with him.,A woman is walking after a man who is running from her.,2,The woman cannot laugh with the man (him) if he is also running from her,A woman is different from a man.,"A man is likely not opening his wallet if he is running. If a woman is laughing with a man, the man is likely not running from her.",,,,,,,Bespectacled man in suit opens wallet while a younger lady in formal wear laughs *with* *him.*,A woman is walking after a man who is running *from* *her.*,Bespectacled *man* in suit opens wallet while a younger lady in formal wear laughs with him.,A *woman* is walking after a man who is running from her.,Bespectacled man in suit *opens* *wallet* while a younger lady in formal wear laughs *with* *him.*,A woman is walking after a man who is *running* *from* *her.*,"him,opens,wallet,with,man","from,running,her,woman"
A white dog with brown spots running on a dirt path,A black dog walks on a concrete path.,2,The dog is either black or white. It either walks or is running.,The dog is either white with brown spots or black.,A white dog is not a black dog.  If a dog is running then the dog is not walks.,,,,,,,A *white* dog with brown spots *running* on a dirt path,A *black* dog *walks* on a concrete path.,A *white* *dog* with brown spots running on a dirt path,A *black* *dog* walks on a concrete path.,A *white* *dog* with brown spots *running* on a *dirt* path,A *black* *dog* *walks* on a concrete path.,"dog,white,running,dirt","dog,black,walks"
A smiling girl walking and a frowning girl with a phone.,A smiling boy walking and a frowning girl with a phone.,2,A girl is not the same as a boy.,Answer;Either  there  is a boy or a girl walking because both are not the same.,It is either a smiling boy or girl.,,,,,,,A smiling *girl* walking and a frowning girl with a phone.,A smiling *boy* walking and a frowning girl with a phone.,A smiling *girl* walking and a frowning girl with a phone.,A smiling *boy* walking and a frowning girl with a phone.,A *smiling* *girl* walking and a frowning girl with a phone.,A *smiling* *boy* walking and a frowning girl with a phone.,"girl,smiling","smiling,boy"
A man in a navy blue shirt is tossing a boy with a large smile on his face high into the air.,A man tossing a girl into the air.,2,The man cannot simultaneously be tossing a boy and a girl,"Tossing a boy, not a girl.",Tossing a boy is different from tossing a girl.,,,,,,,A man in a navy blue shirt is tossing a *boy* with a large smile on his face high into the air.,A man tossing a *girl* into the air.,A man in a navy blue shirt is tossing a *boy* with a large smile on his face high into the air.,A man tossing a *girl* into the air.,A man in a navy blue shirt is *tossing* *a* *boy* with a large smile on his face high into the air.,A man *tossing* *a* *girl* into the air.,"tossing,a,boy","girl,tossing,a"
A woman wearing a gray sweater stands in the street near a green pole.,A man wearing a sweater inside,2,It must be either a woman or a man,"Suppose to be referring to a woman, and not a man. Also, the woman is in the streets, not inside.",Sentence 1 is about a woman while sentence two is about a man.,,,,,,,A *woman* wearing a gray sweater stands in the street near a green pole.,A *man* wearing a sweater inside,A *woman* wearing a gray sweater stands in the *street* near a green pole.,A *man* wearing a sweater *inside*,A *woman* wearing a gray sweater stands in the street near a green pole.,A *man* wearing a sweater inside,"street,woman","inside,man"
"A young woman is standing on a slope, facing the top of the slope.",A man sleds down a slope.,2,It can't be both a woman standing and a man sledding.,A young woman cannot be a man.,"A woman is not a man. If someone is standing on a slope, that implies they are in one spot, not sledding down it.",,,,,,," A young *woman* is *standing* on a slope, facing the top of the slope.",A *man* *sleds* down a slope.," A young *woman* is standing on a slope, facing the top of the slope.",A *man* sleds down a slope.," A young *woman* is *standing* *on* *a* *slope,* facing the top of the slope.",A *man* *sleds* *down* a slope.,"woman,standing,slope,on,a","sleds,down,man"
A girl in a red and white uniform is swinging a bat.,The boy is swinging at his baseball game.,2,A boy is different from a girl.,A girl is not a boy.,A girl is not a boy.,,,,,,,*A* *girl* in a red and white uniform is swinging a bat.,The *boy* is swinging at his baseball game.,*A* *girl* in a red and white uniform is swinging a bat.,*The* *boy* is swinging at his baseball game.,A *girl* in a red and white uniform is swinging a bat.,The *boy* is swinging at his baseball game.,"girl,A","The,boy"
The woman in the white dress looks very uncomfortable in the busy surroundings.,The dress is black.,2,The dress can be either white or black but not both.,Dress can't be black if it is white,if the women has on a white dress than she doesnt have on a black dress,,,,,,,The woman in the *white* dress looks very uncomfortable in the busy surroundings.,The dress is *black.*,The woman in the *white* *dress* looks very uncomfortable in the busy surroundings.,The *dress* is *black.*,The woman in the *white* dress looks very uncomfortable in the busy surroundings.,The dress is *black.*,"dress,white","dress,black"
A woman with a blue jacket around her waist is sitting on the ledge of some stone ruins resting.,A man sits on a ledge,2,The subject is either a man or a woman.,One can be either a man or a woman.,A woman can not be a man,,,,,,,A *woman* with a blue jacket around her waist is sitting on the ledge of some stone ruins resting.,A *man* sits on a ledge,A *woman* with a blue jacket around her waist is sitting on the ledge of some stone ruins resting.,A *man* sits on a ledge,A *woman* with a blue jacket around her waist is sitting on the ledge of some stone ruins resting.,A *man* sits on a ledge,woman,man
"A woman is sitting outside at a table, using a knife to cut into a sandwich.",A woman is sitting inside.,2,Inside as opposed to outside.,The woman can't be sitting inside and sitting outside at the same time.,You cannot be sitting both inside and outside.,,,,,,," A woman is sitting *outside* at a table, using a knife to cut into a sandwich.",A woman is sitting *inside.*," A woman is *sitting* *outside* at a table, using a knife to cut into a sandwich.",A woman is *sitting* *inside.*," A woman is sitting *outside* at a table, using a knife to cut into a sandwich.",A woman is sitting *inside.*,"sitting,outside","sitting,inside"
A man flying out of a river raft filled with 6 other people.,The raft is empty.,2,The raft cannot be empty and fill with 6 people.,"My words are antonyms, one says the raft is filled and the other empty. They are complete opposites.",Raft can't be empty if it is filled with other people.,,,,,,,A man flying out of a river raft *filled* *with* *6* other people.,The raft is *empty.*,A man flying out of a river raft *filled* with 6 other people.,The raft is *empty.*,A man flying out of a river raft *filled* with *6* *other* *people.*,The raft is *empty.*,"filled,other,people,6,with",empty
"Woman wearing dark brown leather jacket, sunglasses, brown leather boots, silver designer handbag, sitting on a fire engine red park bench.",A homeless man is sitting on a park bench.,2,It has to be either a woman or a man.,A homeless man cannot be a woman.,Either a woman or a man is sitting on a park bench.,,,,,,," *Woman* wearing dark brown leather jacket, sunglasses, brown leather boots, silver designer handbag, sitting on a fire engine red park bench.",A homeless *man* is sitting on a park bench.," *Woman* wearing dark brown leather jacket, sunglasses, brown leather boots, silver designer handbag, sitting on a fire engine red park bench.",A *homeless* *man* is sitting on a park bench.," *Woman* wearing dark brown leather jacket, sunglasses, brown leather boots, silver designer handbag, sitting on a fire engine red park bench.",A homeless *man* is sitting on a park bench.,Woman,"homeless,man"
"A man and a woman, both wearing sunglasses, embrace one another, while smiling and posing for the camera.",A man and woman wearing sunglasses.,0,A man and woman wearing sunglasses who embrace one another,A couple embrace one another wearing sunglasses and posing for the camera.,A man and a woman wearing sunglasses smile and pose for a camera.,,,,,,," A man and a woman, both *wearing* *sunglasses,* *embrace* *one* *another,* while smiling and posing for the camera.", *A* *man* *and* *woman* wearing sunglasses.," A man and a woman, both wearing sunglasses, *embrace* one another, while smiling and *posing* for *the* *camera.*", A man and woman *wearing* *sunglasses.*," A *man* *and* a *woman,* both wearing sunglasses, embrace one another, while smiling and *posing* *for* *the* *camera.*", A man and woman *wearing* *sunglasses.*,"for,another,posing,woman,embrace,wearing,and,camera,sunglasses,one,the,man","A,woman,wearing,and,sunglasses,man"
A man with a blue helmet and orange shirt.,A woman has a helmet on a motorcycle.,2,It has to either be a man or a woman.,A man is not a woman.,A woman  is different from a man.,,,,,,,A *man* with a blue helmet and orange shirt.,A *woman* has a helmet on a motorcycle.,A *man* with a blue helmet and orange shirt.,A *woman* has a helmet on a motorcycle.,A *man* with a blue helmet and orange shirt.,*A* *woman* has a helmet on a motorcycle.,man,"A,woman"
Middle-aged man cleaning the fallen snow on the roof of his car with a broom.,The man is cleaning off his car.,0,The man is cleaning snow off of his car.,"Middle-aged man is a type of man, and cleaning fallen snow is a type of cleaning.",Cleaning the fallen snow on the roof of his car with a broom is a form of cleaning off a car.,,,,,,, Middle-aged man cleaning the fallen *snow* on the roof of his *car* with a broom., The man is *cleaning* off his car., *Middle-aged* *man* *cleaning* the *fallen* *snow* on the roof of his car with a broom., The *man* is *cleaning* off his car., Middle-aged man *cleaning* *the* *fallen* *snow* *on* *the* *roof* *of* *his* *car* *with* *a* *broom.*, The man is *cleaning* *off* *his* *car.*,"his,snow,Middle-aged,roof,on,broom,fallen,car,cleaning,a,with,the,man,of","his,off,car,cleaning,man"
A small child dressed for winter stares across a lake while leaning on a mesh fence in a scenic park setting.,A small child dressed for winter stares across a large lake while leaning on a mesh fence,0,"""A small child dressed for winter stares across a large lake while leaning on a mesh fence"" is a shorter literal rephrasing of ""A small child dressed for winter stares across a lake while leaning on a mesh fence in a scenic park setting.""",The small child is leaning on a mesh fence.,A lake can only be large.,,,,,,, A small *child* dressed for winter stares across a lake while leaning on a mesh *fence* in a scenic park setting., A small *child* dressed for winter stares across a large lake while leaning on a mesh *fence*, A *small* *child* dressed for winter stares across a lake while *leaning* *on* *a* *mesh* *fence* in a scenic park setting., A *small* *child* dressed for winter stares across a large lake while *leaning* *on* *a* *mesh* *fence*, A small child dressed for winter stares across a *lake* while leaning on a mesh fence in a scenic park setting., A small child dressed for winter stares across a *large* *lake* while leaning on a mesh fence,"small,lake,fence,mesh,on,child,leaning,a","small,lake,fence,mesh,on,child,large,leaning,a"
A man on one miniature train passes a circular object to a man on another train as they pass by.,The man is running the train into another train.,2,One train can't be passing another train and while running into another train.,The fact they the trains are passing by each other contradicts that the trains are running into another train.,The man can’t be running into another train as they pass by.,,,,,,,A man on *one* miniature *train* *passes* a circular object to a man on *another* *train* *as* *they* *pass* *by.*,The man is *running* *the* *train* *into* *another* *train.*,A man on one miniature train passes a circular object to a man on another train as they *pass* *by.*,The man is *running* *the* *train* *into* *another* *train.*,A man on one miniature train passes a circular object to a man on another train *as* *they* *pass* by.,The man is *running* the train *into* *another* *train.*,"by,another,pass,train,passes,one,as,they","into,another,train,running,the"
A woman sitting with a guitar talking to a man sitting with an umbrella.,A woman is talking.,0,A woman is sitting and talking to a man.,"If the woman is talking to a man, it could be said simply that the woman is talking.",Both sentences say the woman is talking but the top has more details,,,,,,, A *woman* *sitting* with a guitar talking *to* *a* *man* sitting with an umbrella., A woman is *talking.*, A *woman* sitting with a guitar *talking* to a *man* sitting with an umbrella., A *woman* *is* *talking.*, A *woman* sitting with a guitar *talking* to a man sitting with an umbrella., A *woman* is *talking.*,"woman,sitting,to,a,talking,man","is,talking,woman"
A woman sitting with a guitar talking to a man sitting with an umbrella.,A man is jogging.,2,The man in sentence one is sentence so he can not be jogging in sentence two,One cannot be a man and a woman at the same time.,In sentence 1 it is mentioned that the man is sitting with the umbrella but in sentence 2 man is jogging.,,,,,,,A woman sitting with a guitar talking to a *man* *sitting* with an umbrella.,A *man* is jogging.,A *woman* sitting with a guitar talking to a man sitting with an umbrella.,A *man* is jogging.,A woman sitting with a guitar talking to a *man* *sitting* with an umbrella.,A man is *jogging.*,"sitting,man,woman","jogging,man"
Overly dramatic couple pose for a picture where an 'angry 'man 'chokes' a woman who sticks out her tongue.,A man chokes a woman,0,"Man and woman are a couple, and chokes implies overly dramatic.","""A man chokes a woman"" is a rephrasing of "" 'angry' man 'chokes' a woman """,Man chokes a woman is a type of overly dramatic couple.,,,,,,, *Overly* *dramatic* *couple* pose for a picture where an 'angry 'man 'chokes' a woman who sticks out her tongue., A *man* *chokes* a *woman*, Overly dramatic couple pose for a picture where an *'angry* *'man* *'chokes'* a *woman* who sticks out her tongue., A *man* *chokes* a *woman*, *Overly* *dramatic* *couple* pose for a picture where an 'angry 'man 'chokes' a woman who sticks out her tongue., A *man* *chokes* *a* *woman*,"woman,couple,'man,dramatic,'angry,'chokes',Overly","a,chokes,man,woman"
A man in green pants and blue shirt pushing a cart.,A woman is smoking a cigarette.,2,The person must be either a man or a woman,"A woman is different from a man, and while she is smoking a cigarette he is pushing a cart.",Its a man pushing a cart not a women smoking a cigarette.,,,,,,,A *man* in green pants and blue shirt pushing a cart.,A *woman* is smoking a cigarette.,*A* *man* in green pants and blue shirt *pushing* *a* *cart.*,*A* *woman* is *smoking* *a* *cigarette.*,A *man* in green pants and blue shirt pushing a cart.,A *woman* is smoking a cigarette.,"A,cart,a,man,pushing","A,smoking,woman,cigarette,a"
Small girl riding in play car.,A young boy sits in a lawn chair.,2,It must either be a boy or girl. One cannot sit and ride at the same time.,The person cannot be a small girl and a young boy.,There can be either a girl or a boy.,,,,,,,Small *girl* *riding* in play car.,A young *boy* *sits* in a lawn chair.,Small *girl* riding in play car.,A young *boy* sits in a lawn chair.,Small *girl* riding in play car.,A young *boy* sits in a lawn chair.,"girl,riding","sits,boy"
A young man standing outside a laundromat.,A woman is at the laundromat.,2,There can either be a man or a woman.,A man and a woman are two different people.,Two different genders woman and a young man,,,,,,,A young *man* standing outside a laundromat.,A *woman* is at the laundromat.,A young *man* standing outside a laundromat.,A *woman* is at the laundromat.,A *young* *man* standing outside a laundromat.,A *woman* is at the laundromat.,"young,man",woman
A young girl jumps off her swing in front of building.,a boy drinks coffee,2,The girl can't be a boy.,One cannot be a boy and a girl at the same time.,"Both the sentence are not related to each other, In 1st girl jump off and in second boy drinks coffee.",,,,,,,A young *girl* jumps off her swing in front of building.,a *boy* drinks coffee,A young *girl* jumps off her swing in front of building.,a *boy* drinks coffee,A young *girl* *jumps* *off* her swing in *front* of *building.*,a *boy* *drinks* *coffee*,"jumps,front,girl,off,building","coffee,drinks,boy"
An older woman with short red-hair is preparing food in a kitchen.,A young woman is making food in the kitchen.,2,The woman is either young or older.,A young woman is not the same as an older woman,young woman is not older woman,,,,,,,An *older* woman with short red-hair is preparing food in a kitchen.,A *young* woman is making food in the kitchen.,*An* *older* *woman* with short red-hair is preparing food in a kitchen.,*A* *young* *woman* is making food in the kitchen.,An *older* *woman* with short red-hair is preparing food in a kitchen.,A *young* *woman* is making food in the kitchen.,"older,An,woman","young,A,woman"
"A man and two women are walking down a wooded path, the man is pushing a young child in a three wheel carriage.",Two guys kidnap a woman.,2,Man and two women combination  are different from two guys and a woman combination,"There are either two women, or two men present.",A man and two women are not two guys. They are either walking or kidnapping.,,,,,,," A *man* and *two* *women* are walking down a wooded path, the man is pushing a young child in a three wheel carriage.",*Two* *guys* kidnap a *woman.*," A man and *two* *women* are walking down a wooded path, the man is pushing a young child in a three wheel carriage.",*Two* *guys* kidnap a woman.," A *man* *and* *two* *women* *are* *walking* down a wooded path, the man is pushing a young child in a three wheel carriage.",*Two* *guys* *kidnap* a woman.,"two,are,women,and,walking,man","kidnap,guys,Two,woman"
"A man and two women are walking down a wooded path, the man is pushing a young child in a three wheel carriage.","A man and a pair of women are walking down a wooden path, with the man is pushing a young child in a three wheel carriage.",0,A man is walking and pushing a young child so he must be using a carriage.,A pair is a synonym for the number two,"The group of people described, are walking down a wooded path, the man is pushing the three wheel carriage.",,,,,,," *A* *man* and two women are *walking* down a wooded path, the man is *pushing* *a* *young* *child* in a three wheel *carriage.*"," *A* *man* and a pair of women are *walking* down a wooden path, with the man is *pushing* *a* *young* *child* in a three wheel *carriage.*"," A man and *two* women are walking down a wooded path, the man is pushing a young child in a three wheel carriage."," A man and a *pair* of women are walking down a wooden path, with the man is pushing a young child in a three wheel carriage."," A *man* and *two* *women* are walking down a wooded path, the man is *pushing* a young child in a *three* *wheel* *carriage.*"," A man and a pair of women are walking down a wooden path, with the man is pushing a young child in a three wheel carriage.","two,carriage,A,wheel,young,women,child,three,a,walking,man,pushing","carriage,A,pair,young,child,a,walking,man,pushing"
A older man with gray hair wearing a gray suit next to a green and yellow taxi.,A older woman sits in a green and yellow taxi.,2,"One is either a man or one is a woman but not both at the same time, and one either sits in a green and yellow taxi or one is next to a green and yellow taxi but not both simultaneously.",An older man is not the same as an older woman.,"The person cannot be both in and next to the taxi. In addition, they are either a man or a woman.",,,,,,,A older *man* with gray hair wearing a gray suit *next* *to* *a* green and yellow *taxi.*,A older *woman* *sits* *in* *a* green and yellow *taxi.*,A *older* *man* with gray hair wearing a gray suit next to a green and yellow taxi.,A *older* *woman* sits in a green and yellow taxi.,A older *man* with gray hair wearing a gray suit *next* *to* a green and yellow taxi.,A older *woman* sits *in* a green and yellow taxi.,"to,taxi,older,a,man,next","woman,in,taxi,older,sits,a"
The man in camouflage pants telephones 911 for the man in black sneakers who is lying on the ground having a heart attack.,The sneakers are white.,2,Either the sneakers are black or white.,One cannot wear black sneakers and white sneakers at the same time.,"The sneakers are black, not white.",,,,,,,The man in camouflage pants telephones 911 for the man in *black* *sneakers* who is lying on the ground having a heart attack.,The *sneakers* are *white.*,The man in camouflage pants telephones 911 for the man in *black* *sneakers* who is lying on the ground having a heart attack.,The *sneakers* are *white.*,The man in camouflage pants telephones 911 for the man in *black* sneakers who is lying on the ground having a heart attack.,The sneakers are *white.*,"sneakers,black","white,sneakers"
A young redheaded girl in a blue shirt is walking and talking with a boy in black Pearl Jam shirt.,An old couple watches the sunset.,2,There can either be a young redheaded girl or an old couple.,Either a young girl and boy or an old couple either are walking and talking or watches the sunset.,"A young redheaded girl means one person, and old couple means two people.",,,,,,,A *young* *redheaded* *girl* in a blue shirt is walking and talking with a boy in black Pearl Jam shirt.,An *old* *couple* watches the sunset.,A young redheaded *girl* in a blue shirt is *walking* *and* *talking* with a *boy* in black Pearl Jam shirt.,An *old* *couple* *watches* *the* *sunset.*,A *young* redheaded *girl* in a blue shirt is walking and talking with a boy in black Pearl Jam shirt.,An *old* *couple* watches the sunset.,"boy,young,and,girl,talking,walking,redheaded","old,couple,sunset,watches,the"
A little boy with an orange backpack walks under a tree through the woods.,A girl walks through a field.,2,The boy can't be a girl.,A girl is not a little boy.,There can be either a boy or a girl.,,,,,,,A little *boy* with an orange backpack walks under a tree through the woods.,A *girl* walks through a field.,*A* *little* *boy* with an orange backpack walks under a tree through the woods.,*A* *girl* walks through a field.,A little *boy* with an orange backpack walks under a tree through the woods.,A *girl* walks through a field.,"little,A,boy","girl,A"
A man wearing a gray tank top is collecting a red rose from a woman who is wearing a white dress,A woman keeps flowers to herself.,2,A woman who keeps flowers to herself cannot also be giving them to a man who is collecting a red rose from her,The flowers are either collected by the man or kept by the woman,"The woman is either keeping the flowers to herself or she is giving them to the man who is collecting the rose, but she can't be doing both.",,,,,,,A man wearing a gray tank top is *collecting* *a* *red* *rose* from a woman who is wearing a white dress,A woman *keeps* *flowers* *to* *herself.*,A *man* wearing a gray tank top is *collecting* a red *rose* *from* a *woman* who is wearing a white dress,A *woman* keeps *flowers* to herself.,A man wearing a gray tank top is *collecting* a red *rose* *from* *a* *woman* who is wearing a white dress,A woman *keeps* *flowers* *to* *herself.*,"red,woman,from,collecting,rose,a,man","herself,keeps,woman,to,flowers"
A woman is applying lip makeup to another woman who seems to have some green in her hair.,The man is ready to fight,2,The woman is not a man.,He refers to a woman and not a man. The woman applying makeup isn't a man ready to fight.,The subjects of the sentences are either a man or a woman and cannot be both.,,,,,,,A *woman* is applying lip makeup to another woman who seems to have some green in her hair.,The *man* is ready to fight,A *woman* is *applying* lip *makeup* to another woman who seems to have some green in her hair.,The *man* is ready to *fight*,A *woman* is applying lip makeup to another woman who seems to have some green in her hair.,The *man* is ready to fight,"applying,makeup,woman","fight,man"
A woman in a headscarf sitting in front of a loom.,the woman is standing,2,A woman cannot both be sitting and standing at the same time.,A woman sitting is not standing.,The woman cannot be both sitting and standing.,,,,,,,A woman in a headscarf *sitting* in front of a loom.,the woman is *standing*,A *woman* in a headscarf *sitting* in front of a loom.,the *woman* is *standing*,A woman in a headscarf *sitting* in front of a loom.,the woman is *standing*,"sitting,woman","standing,woman"
